spatial_sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,runp2p_complete,tst_dram_power,succeeded
efa47d6e,2019-05-15 12:57:15,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/mappir.log,../gen/Tst_pirTest/BlackScholes_0/log/runpir.log,../gen/Tst_pirTest/BlackScholes_0/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_0/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_0/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,23.263049692,,2511,,True,False,True,0.0,True
efa47d6e,2019-05-15 12:57:15,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/mappir.log,../gen/Tst_pirTest/BlackScholes_1/log/runpir.log,../gen/Tst_pirTest/BlackScholes_1/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,23.941721862,,39477,,True,False,True,0.0,True
efa47d6e,2019-05-15 12:57:15,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/mappir.log,../gen/Tst_pirTest/DotProduct_0/log/runpir.log,../gen/Tst_pirTest/DotProduct_0/log/genpsim.log,../gen/Tst_pirTest/DotProduct_0/log/gentrace.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,11.196530958,,308,,True,False,True,0.0,True
efa47d6e,2019-05-15 12:57:15,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/mappir.log,../gen/Tst_pirTest/DotProduct_1/log/runpir.log,../gen/Tst_pirTest/DotProduct_1/log/genpsim.log,../gen/Tst_pirTest/DotProduct_1/log/gentrace.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,8.911247824,,1143,,True,False,True,0.0,True
efa47d6e,2019-05-15 12:57:15,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/mappir.log,../gen/Tst_pirTest/DotProduct_2/log/runpir.log,../gen/Tst_pirTest/DotProduct_2/log/genpsim.log,../gen/Tst_pirTest/DotProduct_2/log/gentrace.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,12.196880181,,631,,True,False,True,0.0,True
efa47d6e,2019-05-15 12:57:15,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/mappir.log,../gen/Tst_pirTest/DotProduct_3/log/runpir.log,../gen/Tst_pirTest/DotProduct_3/log/genpsim.log,../gen/Tst_pirTest/DotProduct_3/log/gentrace.log,../gen/Tst_pirTest/DotProduct_3/log/runpsim.log,../gen/Tst_pirTest/DotProduct_3/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,12.621650104,,245,,True,False,True,0.0,True
efa47d6e,2019-05-15 12:57:15,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/mappir.log,../gen/Tst_pirTest/GDA_0/log/runpir.log,../gen/Tst_pirTest/GDA_0/log/genpsim.log,../gen/Tst_pirTest/GDA_0/log/gentrace.log,../gen/Tst_pirTest/GDA_0/log/runpsim.log,../gen/Tst_pirTest/GDA_0/log/runpsim.sh,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,21.666843262,,1078983,,True,False,True,1.725,True
efa47d6e,2019-05-15 12:57:15,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/mappir.log,../gen/Tst_pirTest/GDA_1/log/runpir.log,../gen/Tst_pirTest/GDA_1/log/genpsim.log,../gen/Tst_pirTest/GDA_1/log/gentrace.log,../gen/Tst_pirTest/GDA_1/log/runpsim.log,../gen/Tst_pirTest/GDA_1/log/runpsim.sh,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,22.828994739,,6016,,True,False,True,0.0,True
efa47d6e,2019-05-15 12:57:15,GDA_14,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_14/log/mappir.log,../gen/Tst_pirTest/GDA_14/log/runpir.log,../gen/Tst_pirTest/GDA_14/log/genpsim.log,../gen/Tst_pirTest/GDA_14/log/gentrace.log,../gen/Tst_pirTest/GDA_14/log/runpsim.log,../gen/Tst_pirTest/GDA_14/log/runpsim.sh,../gen/Tst_pirTest/GDA_14/log/runproute.log,../gen/Tst_pirTest/GDA_14/log/runproute.sh,../gen/Tst_pirTest/GDA_14/plastisim/summary.csv,../gen/Tst_pirTest/GDA_14/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_14/log/,../gen/Tst_pirTest/GDA_14/log/gentst.log,../gen/Tst_pirTest/GDA_14/log/maketst.log,../gen/Tst_pirTest/GDA_14/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,58.681666798,,737922,,True,False,True,1.786,True
efa47d6e,2019-05-15 12:57:15,GDA_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_2/log/mappir.log,../gen/Tst_pirTest/GDA_2/log/runpir.log,../gen/Tst_pirTest/GDA_2/log/genpsim.log,../gen/Tst_pirTest/GDA_2/log/gentrace.log,../gen/Tst_pirTest/GDA_2/log/runpsim.log,../gen/Tst_pirTest/GDA_2/log/runpsim.sh,../gen/Tst_pirTest/GDA_2/log/runproute.log,../gen/Tst_pirTest/GDA_2/log/runproute.sh,../gen/Tst_pirTest/GDA_2/plastisim/summary.csv,../gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_2/log/,../gen/Tst_pirTest/GDA_2/log/gentst.log,../gen/Tst_pirTest/GDA_2/log/maketst.log,../gen/Tst_pirTest/GDA_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,38.767844006,,3322,,True,False,True,0.0,True
